4.642903687542493607e+00,7.963947990543734923e-02,4.266099548339843395e+00,1.256097560975609762e-01
4.060012253745509447e+00,1.326832151300236518e-01,3.949357846888100099e+00,1.384146341463414753e-01
3.741482127079163167e+00,1.656323877068557882e-01,3.847429242948206429e+00,1.646341463414634221e-01
3.521584966222163438e+00,1.968085106382978788e-01,3.657512150741204948e+00,1.884146341463414642e-01
3.387520832936532500e+00,2.210401891252955220e-01,3.593712813679764917e+00,2.000000000000000111e-01
3.325507590674903202e+00,2.299054373522458616e-01,3.656837877413121607e+00,1.957317073170731780e-01
3.233457555162145614e+00,2.449763593380614723e-01,3.616091579344214324e+00,2.298780487804878148e-01
3.148864145256385250e+00,2.545803782505910440e-01,3.509113367592416211e+00,2.445121951219512146e-01
3.069985468055057787e+00,2.751182033096926660e-01,3.554466782546624959e+00,2.231707317073170771e-01
2.969873263762634163e+00,2.925531914893617080e-01,3.592299055471652736e+00,2.408536585365853577e-01
